新发地 天伦锦城 1室1厅,天伦锦城,3000,http://bj.58.com/pinpaigongyu/27302474300607x.shtml
朝阳公园 姚家园西里5号院 7室次卧,姚家园西里5号院,2290,http://bj.58.com/pinpaigongyu/27127175736123x.shtml
新发地 天伦锦城 1室1厅,天伦锦城,3400,http://bj.58.com/pinpaigongyu/27291857682617x.shtml
朝青板块 雅成一里 4室主卧,雅成一里,2960,http://bj.58.com/pinpaigongyu/27282121187003x.shtml
劲松 劲松六区 1室1厅,劲松六区,4000,http://bj.58.com/pinpaigongyu/27204548641841x.shtml
西北旺 大牛坊 1室0厅,大牛坊,3200,http://bj.58.com/pinpaigongyu/27239521053617x.shtml
来广营 马泉营三区 1室1厅,马泉营三区,3300,http://bj.58.com/pinpaigongyu/27292861149385x.shtml
霍营 紫金新干线 3室次卧,紫金新干线,2090,http://bj.58.com/pinpaigongyu/27203615808716x.shtml
新发地 天伦锦城 1室1厅,天伦锦城,3000,http://bj.58.com/pinpaigongyu/27303067352878x.shtml
潘家园 松榆里社区 4室次卧,松榆里社区,2590,http://bj.58.com/pinpaigongyu/27159298728111x.shtml
回龙观 新龙城小区龙泽地 4室次卧,新龙城小区龙泽地,2490,http://bj.58.com/pinpaigongyu/27192574758606x.shtml
双桥 金隅康惠园 3室主卧,金隅康惠园,2590,http://bj.58.com/pinpaigongyu/27138245469492x.shtml
天通苑 天通苑西二区 5室主卧,天通苑西二区,2790,http://bj.58.com/pinpaigongyu/27016992875593x.shtml
天通苑 天通苑东二区 6室次卧,天通苑东二区,2790,http://bj.58.com/pinpaigongyu/27270052045752x.shtml
天通苑 天通苑东二区 4室次卧,天通苑东二区,2090,http://bj.58.com/pinpaigongyu/26762314727726x.shtml
十里河 乐乎城市青年社区 1室1厅,十里河,3300,http://bj.58.com/pinpaigongyu/27225182976460x.shtml
芍药居 乐乎城市青年社区 1室1厅,芍药居,3100,http://bj.58.com/pinpaigongyu/27272596114474x.shtml
芍药居 北苑 1室1厅,北苑,3899,http://bj.58.com/pinpaigongyu/27092218825521x.shtml
